car_code,sub_code,make,model,spec,current_price,depreciation,down_payment,installment,coe,road_tax,omv,arf,fuel_economy,fuel_type,coe_incl
12841,8034,Mercedes-Benz,Mercedes-Benz E-Class Saloon Mild Hybrid,E53 AMG 4MATIC+ (A),540888,46900,216355,4669,105459,2384,92320,143104,4.5010,Petrol-Electric,True
12847,8066,Tesla,Tesla Model 3 Electric,RWD 60 kWh (A),112480,-,-,-,105459,2135,59370,33866,-,Electric,False
12847,8062,Tesla,Tesla Model 3 Electric,Performance AWD 78 kWh (A),161647,-,-,-,105459,5384,73984,60171,-,Electric,False
12853,8538,Mercedes-Benz,Mercedes-Benz S-Class Mild Hybrid,S450L (A),620888,53000,248355,5360,105459,2384,109508,180918,5.3010,Petrol-Electric,True
12853,8164,Mercedes-Benz,Mercedes-Benz S-Class Mild Hybrid,S450L 4MATIC (A),634888,54300,253955,5481,105459,2384,110931,184048,5.1010,Petrol-Electric,True
12853,8726,Mercedes-Benz,Mercedes-Benz S-Class Mild Hybrid,S580L 4MATIC (A),830888,68000,332355,7173,105459,3920,164052,300914,4.4010,Petrol-Electric,True
12854,8421,Audi,Audi e-tron GT Electric,qu 93 kWh (A),565555,-,226222,4882,105459,7005,-,-,-,Electric,True
12855,8292,Audi,Audi RS e-tron GT Electric,qu 93 kWh (A),714459,62100,285784,6168,105459,7241,132555,186621,-,Electric,True
12862,8103,Maxus,Maxus e Deliver 3 Electric,[52.5 kWh] (A),68999,-,6900,893,77109,-,-,-,-,Electric,False
12865,8112,Perodua,Perodua Aruz,1.5 X 7-Seater (A),137999,-,41400,1390,86000,682,-,-,,Petrol,True
12866,8615,Maserati,Maserati Ghibli Mild Hybrid,2.0 GT (A),348800,-,-,-,105459,1206,-,-,5.7010,Petrol-Electric,False
12877,8167,Morgan,Morgan Plus Six,3.0 Bespoke (A),420888,-,-,-,105459,2382,-,-,4.2010,Petrol,False
12877,8168,Morgan,Morgan Plus Six,3.0 Touring (A),450888,-,-,-,105459,2382,-,-,4.2010,Petrol,False
12878,8170,Morgan,Morgan Plus Four,2.0 (M),310888,-,-,-,105459,1210,-,-,5.2010,Petrol,False
12878,8171,Morgan,Morgan Plus Four,2.0 (A),320888,-,-,-,105459,1210,-,-,4.8010,Petrol,False
